# type;class;cmd;comment;msg type: 1=BROAD, 2=MM, 3=MS;ZZ;PBSB;NN;D1D2D3;elements;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment;sub;part;position;datatype;factor;unit;valid;comment
# Heizkreis 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# CI-Parameter – HK Namen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#set;ci;hk16_name;Name vom HK16;MS;15;B509;3;0E4178;1;-;sd;-;asc;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#AMU Zusatzheizung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#set;amu;zh;FIXME !!!;MS;-;-;-;-;1;-;sd;-;???;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;zh_bivalent;Zusatzheizung - Bivalenzpunkt;MS;08;B509;5;0E6500;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;zh_hysterese;Zusatzheizung/ Hysterese;MS;08;B509;5;0E7E00;1;-;sd;1,2;d2c;1.000;K;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;zh_hys_delay;Zusatzheizung/ Verzögerung Hysterese ;MS;08;B509;4;0EE001;1;-;sd;1;d1b;1.000;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#set;amu;zh_EI;Zusatzheizung/ EnergieIntegral;MS;08;B509;5;0E7F00;1;-;sd;-;???;-;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;zh_heating;Zusatzheizung/ Heizung;MS;08;B509;4;0E6300;1;-;sd;1;bcd;1.000;-;-;0=aus 1=mit 2=nur;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;zh_water;Zusatzheizung/ WarmWasser;MS;08;B509;4;0E6400;1;-;sd;1;bcd;1.000;-;-;0=aus 1=mit 2=nur;;;;;;;;;;;;;;;;;;;;;;;;
#AMU Kompressor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;comp_hysteres;Kompressor/ Hysterese;MS;08;B509;5;0E7D00;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#set;amu;comp_energy_int;Kompressor  - EnergieIntegral;MS;08;B509;5;0E7C00;1;-;sd;-;???;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;comp_start_hour;Kompressor/ Starts pro Stunde;MS;08;B509;4;0E7400;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;comp_max_in;Kompressor  - max. Rücklauftemperatur;MS;08;B509;5;0E7300;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#AMU Quelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;brine_spreiz;Quelle/ zul. Spreizung;MS;08;B509;5;0E6E00;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;brine_frost;Quelle/ Einfrierschutz;MS;08;B509;4;0E7A01;1;-;sd;1;d1b;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#set;amu;brine_pump_pre_time;Quelle/ Vorlaufzeit Quellenpumpe;MS;08;B509;7;0E7600;1;-;sd;-;bcd;1.000;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#AMU Pumpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;offset_pump_min;Ausschaltzeit interne Heizkreispumpe (Minuten);MS;08;B509;4;0E9901;1;-;sd;1;bcd;1.000;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;preset_pump_sek;Interne Heizkreispumpe Vorlaufzeit (Sekunden);MS;08;B509;4;0EC801;1;-;sd;-;???;-;sec;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#AMU Cooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;cooling_preset;Kühlungsvorlaufsollwert;MS;08;B509;4;0E7401;1;-;sd;1;d1b;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#AMU Service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;service_time;Servicezeit;MS;08;B509;4;0E6600;1;-;sd;1;bcd;1.000;-;-;0=Nein 1=Ja;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;venting;Entlüftung;MS;08;B509;4;0E1300;1;-;sd;1;bcd;1.000;-;-;0=Nein 1=Ja;;;;;;;;;;;;;;;;;;;;;;;;
#set;amu;code_1;Code 1;MS;08;B509;-;0E9700;1;-;sd;-;???;-;-;-;Code: 03F8 = 0xF8 0x03;;;;;;;;;;;;;;;;;;;;;;;;
#set;amu;code_2;Code 2;MS;08;B509;-;0E9800;1;-;sd;-;???;-;-;-;Code: 03F8 = 0xF8 0x03;;;;;;;;;;;;;;;;;;;;;;;;
#set;amu;save_codes;Codes übernehmen;MS;08;B509;4;0E2400;1;-;sd;1;bcd;1.000;-;-;0=Nein 1=Ja;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;high_eff_pump_perc_heating;Pumpensollwert in% beim Heizen;MS;08;B509;4;0EAE01;1;-;sd;1;d1b;1.000;%;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;amu;bivalentmode;Bivalenzmodus;MS;08;B509;4;0EE301;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#Kalibrierung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;outdoor;Kalibrierung/ Aussentemperatur;MS;08;B509;5;0EC300;1;-;sd;1,2;d2c;1.000;°C;-;1/16 Auflösung = 0,1875;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;brine_in;Kalibrierung - Quelle Eintritt;MS;08;B509;5;0ECD00;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;brine_out;Kalibrierung - Quelle Austritt;MS;08;B509;5;0EC900;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;boiler;Kalibrierung/ WW-Speicher;MS;08;B509;5;0EC400;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;heat_flow;Kalibrierung/ Vorlauf;MS;08;B509;5;0ECA00;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;heat_return;Kalibrierung/ Rücklauf;MS;08;B509;5;0ECB00;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;VF2;Kalibrierung - Vorlauf VF2;MS;08;B509;5;0EC500;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;comp_in;Kalibrierung - Kompressor Eintritt;MS;08;B509;5;0EC600;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;comp_out;Kalibrierung - Kompressor Austritt;MS;08;B509;5;0EC700;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;buffer_in;Kalibrierung/ Puffer RL;MS;08;B509;5;0E3400;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cal;buffer_out;Kalibrierung/ Puffer VL;MS;08;B509;5;0E3301;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#Heizkreis 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;mode;Heizkreis - Betriebsart;MS;50;B509;4;0E2B00;1;-;sd;1;bcd;1.000;-;-;01=Ein 02=Aus 03=Auto 04=Eco 05=Absenken;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;type;Heizkreis - Kreis Typ;MS;50;B509;4;0E3C00;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;rt_day;Heizkreis/ Raumsolltemperatur;MS;50;B509;4;0E3200;1;-;sd;1;d1b;0.5;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;rt_night;Heizkreis/ Absenktemperatur;MS;50;B509;4;0E3300;1;-;sd;1;d1b;0.5;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;curve;Heizkurve ändern;MS;50;B509;5;0E3500;1;-;sd;1,2;d2b;0.01;min;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;at_off;Heizkreis/ Aussentemperatur Abschaltgrenze;MS;50;B509;4;0E3600;1;-;sd;1;d1b;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;vl_min;Heizkreis - minimale Vorlauftemperatur;MS;50;B509;4;0E3000;1;-;sd;1;d1b;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;vl_max;Heizkreis - maximale Vorlauftemperatur;MS;50;B509;4;0E3100;1;-;sd;1;d1b;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;pre_hours;Heizkreis - max. Voraufheizung in Stunden;MS;50;B509;4;0E3800;1;-;sd;1;bcd;1.000;h;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;estrich;Heizkreis Estrichtrocknung Tag;MS;50;B509;4;0E3B00;1;-;sd;1;bcd;1.000;d;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;cooling;Kühlbetrieb;MS;50;B509;4;0E8C01;1;-;sd;1;bcd;1.000;-;-;1=An 2=Aus 3=Auto;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;cooling_support;Kühlbetrieb supported/ für freigegeben;MS;50;B509;4;0E8601;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;cooling_offset_outdoor;Kühlung Offset AT-Abschaltgrenze;MS;50;B509;4;0E8701;1;-;sd;1;d1c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;locktime_cool>heat;Sperrzeit Kuehlung > Heizung;MS;50;B509;4;0E8401;1;-;sd;1;bcd;1.000;h;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;locktime_heat>cool;Sperrzeit Heizung > Kühlung;MS;50;B509;4;0E8501;1;-;sd;1;bcd;1.000;h;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;min_diff;min Diff VL / RT;MS;50;B509;4;0E8B01;1;-;sd;1;d1c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;holiday_cooling;Kühlen im Ferienbetrieb;MS;50;B509;4;0E9501;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;cir2;heat_pump_pause;Heizkreispumpe in Pausen;MS;50;B509;4;0EE101;1;-;sd;1;d1b;1.000;%;-;%;;;;;;;;;;;;;;;;;;;;;;;;
#Boiler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;hw;mode;WW/ Betriebsmodus;MS;25;B509;4;0E2B00;1;-;sd;1;bcd;1.000;-;-;01=Ein 02=Aus 03=Auto;;;;;;;;;;;;;;;;;;;;;;;;
set;hw;temp;WW/ Solltemperatur;MS;25;B509;5;0E8200;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;hw;min_temp;WW/ Min. Temperatur;MS;25;B509;5;0E8300;1;-;sd;1,2;d2c;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;hw;legionella_protect;WW/ Legionellenschutz;MS;25;B509;4;0E4000;1;-;sd;1;bcd;1.000;-;-;00=Aus 01=An;;;;;;;;;;;;;;;;;;;;;;;;
set;hw;legionella_wday;WW/ Legionellenschutz Wochentag;MS;25;B509;4;0E7C01;1;-;sd;1;bcd;1.000;-;-;00=Mo 01=Di 02=Mi 03=Do ... ;;;;;;;;;;;;;;;;;;;;;;;;
#set;hw;legionelle_starttime;WW/ Legionellenschutz Startzeit;MS;25;B509;6;0E6700;1;-;sd;1;???;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
#Shortcuts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
set;short;cir2_party;Quick/ Party-Modus;MS;50;B505;2;0A;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;short;cir2_rt_day;Quick/ Raumsolltemperatur;MS;50;B505;2;01;1;-;sd;1;d1b;1.000;°C;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;short;cir2_mode;Quick/ Heizkreis Betriebsmodus;MS;50;B505;2;02;1;-;sd;1;d1b;1.000;-;-;01=Ein 02=Aus 03=Auto 04=Eco 05=Absenken;;;;;;;;;;;;;;;;;;;;;;;;
#set;short;cir2_curve;Quick/ Heizkurve;MS;50;B505;2;03;1;-;sd;-;???;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;short;party;Quick - Partymodus;MS;50;B505;2;05;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;short;hw_load;Quick - WW Speicherladung;MS;50;B505;2;06;1;-;sd;1;bcd;1.000;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
set;short;cir2_save;Quick/ Sparen bis..;MS;50;B505;2;07;1;-;sd;1;d1c;1.000;-;-;21.5 = 21:30 Uhr;;;;;;;;;;;;;;;;;;;;;;;;
